Model,Macro_F1 (Test),Accuracy (Test)
SVM (Linear) C=30,0.9285578298867175,0.914799853103195
"SVM (RBF) C=60, gamma=0.01",0.9378016467274369,0.9265515975027543
"SVM (Poly) C=3, degree=2, gamma=scale, coef0=1",0.9381297043977731,0.9265515975027543
SVM (Linear) C=10,0.9285522172747319,0.914799853103195
"SVM (RBF) C=10, gamma=0.01",0.9349717179554167,0.922879177377892
"SVM (Poly) C=1, degree=2, gamma=0.1, coef0=1",0.9375786389613013,0.9265515975027543
SVM (Linear) C=60,0.9272655705873457,0.9140653690782226
"SVM (RBF) C=10, gamma=scale",0.9360868835466604,0.9243481454278369
"SVM (Poly) C=1, degree=3, gamma=scale, coef0=1",0.9358712961578942,0.9247153874403232
SVM (Linear) C=30,0.9285578298867175,0.914799853103195
"SVM (RBF) C=30, gamma=scale",0.9377240122808513,0.9269188395152406
"SVM (Poly) C=3, degree=3, gamma=scale, coef0=1",0.9338649448589854,0.922879177377892
